,Model,Average,Cum
0,df_random_sig1,0.0592894,2.9644699999999995
1,df_baseline_sig1_eps1,0.0617373999999999,3.08687
2,df_baseline_sig1_eps2,0.0620118,3.10059
3,df_baseline_sig1_eps3,0.0620287999999999,3.10144
4,df_egreedy_sig1_eps1,0.0649695999999999,3.24848
5,df_egreedy_sig1_eps2,0.06464,3.2320000000000007
6,df_egreedy_sig1_eps3,0.0640422,3.20211
7,df_edecay_sig1_eps1_d99,0.0651922,3.25961
8,df_edecay_sig1_eps1_d95,0.0625038,3.12519
9,df_edecay_sig1_eps1_d90,0.0670492,3.35246
10,df_edecay_sig1_eps2_d99,0.0654298,3.271490000000001
11,df_edecay_sig1_eps2_d95,0.0659278,3.29639
12,df_edecay_sig1_eps2_d90,0.0653067999999999,3.26534
13,df_edecay_sig1_eps3_d99,0.0637525999999999,3.1876299999999995
14,df_edecay_sig1_eps3_d95,0.0651958,3.25979
15,df_edecay_sig1_eps3_d90,0.063255,3.16275
